Lp;Nazwa;Audio;Kierunek
1;Nowy Bieżanów P+R 01;Nowy Bieżanów P+R;Krowodrza Górka P+R
2;Ćwiklińskiej 02;Ćwiklińskiej;
3;Nowy Prokocim 02;Nowy Prokocim;
4;Teligi 02;Teligi;
5;Prokocim Szpital 02;Prokocim Szpital;
6;Prokocim 02;Prokocim;
7;Wlotowa 02;Wlotowa;
8;Bieżanowska 02;Bieżanowska;
9;Kabel 02;Kabel;
10;Dworcowa 02;Dworcowa;
11;Cmentarz Podgórski 02;Cmentarz Podgórski;
12;Podgórze SKA 02;Podgórze SKA;
13;Plac Bohaterów Getta 02;Plac Bohaterów Getta;
14;św. Wawrzyńca 02;Św. Wawrzyńca;
15;Miodowa 02;Miodowa;
16;Starowiślna 01;Starowiślna;
17;Poczta Główna 02;Poczta Główna;
18;Teatr Słowackiego 03;Teatr Słowackiego;
19;Dworzec Główny Zachód 02;Dworzec Główny Zachód;
20;Politechnika 01;Politechnika;
21;Dworzec Towarowy 01;Dworzec Towarowy;
22;Szpital Narutowicza 01;Szpital Narutowicza;
23;Bratysławska 01;Bratysławska;
24;Krowodrza Górka P+R 93;Krowodrza Górka P+R;
